urls,images
www.digikala.com/product/dkp-5079161/کتاب-اثر-مرکب-اثر-دارن-هاردی-انتشارات-نگین-ایران,"https://dkstatics-public.digikala.com/digikala-products/df9fb4ee079cfe6144d356e36f88393b1d4274ec_1620120417.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90"
www.digikala.com/product/dkp-7452499/کتاب-درگیری-هفتاد-درصدی-اثر-رضا-باباخانلو-نشر-سیزده,https://dkstatics-public.digikala.com/digikala-adservice-promotions/0a47b60db4daa18c161d934d49f4ab1f4aa7d142_1641281918.svg
www.digikala.com/product/dkp-2623047/کتاب-چهار-اثر-از-فلورانس-اسکاول-شین-اثر-فلورانس-اسکاول-شین-انتشارات-نگین-ایران,"https://dkstatics-public.digikala.com/digikala-products/7c90885c3241f70d745e472d599ba41bdebb61d3_1593956650.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90"
www.digikala.com/product/dkp-3963589/کتاب-باشگاه-پنج-صبحی-ها-اثر-رابین-شارما-نشر-آزرمیدخت,https://dkstatics-public.digikala.com/digikala-adservice-promotions/0a47b60db4daa18c161d934d49f4ab1f4aa7d142_1641281918.svg
www.digikala.com/product/dkp-5436768/کتاب-سرقت-به-سبک-یک-هنرمند-اثر-آستین-کلئون-نشر-سیزده,"https://dkstatics-public.digikala.com/digikala-products/764f998a622266982534639512ed0f7316034f8f_1623478144.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90"
www.digikala.com/product/dkp-6782161/کتاب-انسان-در-جستجوی-معنا-اثر-ویکتور-فرانکل-نشر-آزرمیدخت,https://dkstatics-public.digikala.com/digikala-adservice-promotions/0a47b60db4daa18c161d934d49f4ab1f4aa7d142_1641281918.svg
www.digikala.com/product/dkp-4920588/کتاب-کتابخانه-نیمه-شب-اثر-مت-هیگ-انتشارات-کتاب-کوله-پشتی,https://dkstatics-public.digikala.com/digikala-adservice-promotions/0a47b60db4daa18c161d934d49f4ab1f4aa7d142_1641281918.svg
www.digikala.com/product/dkp-6156952/کتاب-ایکیگای-اثر-هکتور-گارسیا-و-فرانچسک-میرالس-انتشارات-آفرینه,"https://dkstatics-public.digikala.com/digikala-products/4928630e648a07354813184db929638afcf839d1_1629502663.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90"
www.digikala.com/product/dkp-4236184/كتاب-از-چيزي-نمي-ترسيدم-اثر-قاسم-سليماني-نشر-مكتب-حاج-قاسم,"https://dkstatics-public.digikala.com/digikala-products/b8f15a50cb19198d3c1eba49e60c898403c26725_1610622257.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90"
www.digikala.com/product/dkp-1772600/کتاب-تکه-هایی-از-یک-کل-منسجم-اثر-پونه-مقیمی-نشر-بینش-نو,"https://dkstatics-public.digikala.com/digikala-products/111992971.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90"
