urls,images
www.digikala.com/product/dkp-1525005/جعبه-هدیه-مدل-72,"https://dkstatics-public.digikala.com/digikala-products/110662354.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90"
www.digikala.com/product/dkp-4597277/جعبه-هدیه-مدل-gbx-mtz15,"https://dkstatics-public.digikala.com/digikala-products/58de0d774efb24c555c34932600de615ca5ae29d_1614683594.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90"
www.digikala.com/product/dkp-957252/جعبه-هدیه-مدل-sn-1247,"https://dkstatics-public.digikala.com/digikala-products/5357656.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90"
www.digikala.com/product/dkp-625697/جعبه-هدیه-مدل-گل,"https://dkstatics-public.digikala.com/digikala-products/2672878.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90"
www.digikala.com/product/dkp-2593597/جعبه-هدیه-کد-m1212,"https://dkstatics-public.digikala.com/digikala-products/120022786.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90"
www.digikala.com/product/dkp-2278013/جعبه-هدیه-مدل-b20,"https://dkstatics-public.digikala.com/digikala-products/120259848.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90"
www.digikala.com/product/dkp-2854872/جعبه-هدیه-چوبی-مدل-j67,"https://dkstatics-public.digikala.com/digikala-products/121281556.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90"
www.digikala.com/product/dkp-5556649/جعبه-هدیه-مدل-جعبه-ساعت-کد-01,"https://dkstatics-public.digikala.com/digikala-products/c2f895689f677104d8d13c7bb533d43e8b6029f8_1624344600.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90"
www.digikala.com/product/dkp-2859129/جعبه-هدیه-چوبی-مدل-j82,"https://dkstatics-public.digikala.com/digikala-products/121303870.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90"
www.digikala.com/product/dkp-1123450/جعبه-هدیه-عاشقانه-ویژه-کادو-مدل-my-love-کد-kp72,"https://dkstatics-public.digikala.com/digikala-products/5332107.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90"
www.digikala.com/product/dkp-2732061/کاموا-لینکرفت-مدل-پیروتی100-بسته-2-عددی,"https://dkstatics-public.digikala.com/digikala-products/120694843.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90"
