urls,images
www.digikala.com/product/dkp-2130236/گیتار-کلاسیک-مدل-ne2,"https://dkstatics-public.digikala.com/digikala-products/114157606.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90"
www.digikala.com/product/dkp-6955539/گیتار-مدل-c40,https://dkstatics-public.digikala.com/digikala-adservice-promotions/0a47b60db4daa18c161d934d49f4ab1f4aa7d142_1641281952.svg
www.digikala.com/product/dkp-1636107/میکروفون-یقه-ای-اینوی-مدل-yw-001,"https://dkstatics-public-2.digikala.com/digikala-products/111252914.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90"
www.digikala.com/product/dkp-4566149/پنل-آکوستیک-ساندپروف-مدل-شانه-تخم-مرغی-sp12,"https://dkstatics-public.digikala.com/digikala-products/d228a96c8bb0c898e294fb7bf834fe64b88384a4_1614511603.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90"
www.digikala.com/product/dkp-1737049/پیانو-دیجیتال-یاماها-مدل-ydp-144,"https://dkstatics-public.digikala.com/digikala-products/112775249.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90"
www.digikala.com/product/dkp-55074/گیتار-کلاسیک-یاماها-مدل-c70,"https://dkstatics-public.digikala.com/digikala-products/237746.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90"
www.digikala.com/product/dkp-218805/کیبورد-یاماها-مدل-psr-f51,"https://dkstatics-public.digikala.com/digikala-products/1616696.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90"
www.digikala.com/product/dkp-4740788/پیانو-دیجیتال-مدل-رولی-s5088,https://dkstatics-public.digikala.com/digikala-adservice-promotions/0a47b60db4daa18c161d934d49f4ab1f4aa7d142_1641281952.svg
www.digikala.com/product/dkp-526158/میکروفون-ینمای-مدل-sf-666,"https://dkstatics-public.digikala.com/digikala-products/2099867.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90"
www.digikala.com/product/dkp-5747795/میکروفن-یقه-ای-مدل-cl1-type-c,"https://dkstatics-public.digikala.com/digikala-products/465f7017b86dd0fa5c9c9af3f25d94ea8abc4a33_1626253222.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90"
www.digikala.com/product/dkp-6778551/میکروفن-کندانسر-مدل-professional-condenser-microphone-همراه-با-پایه-تلسکوپی-و-پاپ-فیلتر,"https://dkstatics-public.digikala.com/digikala-products/e2bc43979bc81fabd794ba3c3568ec889775fafc_1634566088.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90"
www.digikala.com/product/dkp-7461366/میکروفن-یقه-ای-بویا-مدل-m1,https://dkstatics-public.digikala.com/digikala-adservice-promotions/0a47b60db4daa18c161d934d49f4ab1f4aa7d142_1641280671.svg
www.digikala.com/product/dkp-5569604/ست-میکروفن-بی-سیم-رود-مدل-wireless-go-ii,"https://dkstatics-public.digikala.com/digikala-products/82dc4af2cf83f986b6f93c0c55f3b69e5205bad0_1624513715.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90"
www.digikala.com/product/dkp-5813207/پنل-آکوستیک-مدل-شانه-تخم-مرغی-کد-h03,"https://dkstatics-public.digikala.com/digikala-products/acc1daade18ea12eee7f44062071250b0dc2a268_1626727967.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90"
www.digikala.com/product/dkp-949537/گیتار-الکتریک-کورت-مدل-aero-custom-به-همراه-کیس-حمل,"https://dkstatics-public.digikala.com/digikala-products/4430586.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90"
www.digikala.com/product/dkp-1700867/کیبورد-رولند-مدل-ea-7,"https://dkstatics-public-2.digikala.com/digikala-products/111603562.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90"
www.digikala.com/product/dkp-7252453/پیانو-دیجیتال-کاسیو-مدل-cdp-s100-plus,"https://dkstatics-public.digikala.com/digikala-products/4e9d7cc355fe7728ffcbb547b78d9f39f99ab2d3_1638876968.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90"
www.digikala.com/product/dkp-5846888/ست-میکروفون-و-کارت-صدای-استودیویی-مدل-lgt240l068,https://dkstatics-public.digikala.com/digikala-adservice-promotions/0a47b60db4daa18c161d934d49f4ab1f4aa7d142_1641280671.svg
www.digikala.com/product/dkp-955997/پیانو-دیجیتال-یاماها-مدل-p-125,"https://dkstatics-public.digikala.com/digikala-products/4477553.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90"
www.digikala.com/product/dkp-2031937/ویولن-مدل-bach,"https://dkstatics-public.digikala.com/digikala-products/113375988.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90"
www.digikala.com/product/dkp-1457675/سنتور-کد-1010,https://dkstatics-public.digikala.com/digikala-adservice-promotions/0a47b60db4daa18c161d934d49f4ab1f4aa7d142_1641281952.svg
www.digikala.com/product/dkp-3527490/میکروفون-یقه-ای-لاوالیر-مدل-jh-043,"https://dkstatics-public.digikala.com/digikala-products/13bc7ff1157660b580b607ac142d3213b5a203c8_1602444841.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90"
www.digikala.com/product/dkp-3247644/کالیمبا-مدل-l33,https://dkstatics-public.digikala.com/digikala-adservice-promotions/0a47b60db4daa18c161d934d49f4ab1f4aa7d142_1641281952.svg
www.digikala.com/product/dkp-403372/رقص-نور-گردان-ان-پی-مدل-336,"https://dkstatics-public.digikala.com/digikala-products/1796026.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90"
www.digikala.com/product/dkp-3579040/پنل-آکوستیک-ایران-استودیو-مدل-pdt-55-55-بسته-10-عددی,"https://dkstatics-public.digikala.com/digikala-products/848cc3e0824e20906e182d7a94580d4be446ef35_1603108524.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90"
