urls,images
www.digikala.com/product/dkp-5934275/دفتر-برنامه-ریزی-80-برگ-پالت-طرح-کاکتوس-کد-0212,"https://dkstatics-public.digikala.com/digikala-products/0db5691f3498fa9c894291e7d1aa965336b601b7_1627721884.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90"
www.digikala.com/product/dkp-2103456/مدادرنگی-فابرکاستل-مدل-پلی-کروموس-کد-135728-مجموعه-108-عددی,"https://dkstatics-public.digikala.com/digikala-products/113764485.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90"
www.digikala.com/product/dkp-6461344/دفتر-برنامه-ریزی-تحصیلی-مستر-راد-طرح-کهکشانی-کد-student-1563,"https://dkstatics-public.digikala.com/digikala-products/0b99bcda492d7d27079847edc5db4ee2dee268fa_1631706262.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90"
www.digikala.com/product/dkp-4414808/بسته-لوازم-تحریر-مدل-20ss,"https://dkstatics-public.digikala.com/digikala-products/1a42857bb7332c198bc6ef5e27345dad0eee9874_1612904362.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90"
www.digikala.com/product/dkp-5984252/دفترچه-یادداشت-مستر-راد-مدل-to-do-list-کد-iphone,"https://dkstatics-public.digikala.com/digikala-products/46277f6e71f94c7c4b9e8173a4168b71dc702455_1633502146.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90"
www.digikala.com/product/dkp-4852599/ماژیک-علامت-گذار-طرح-کهکشانی-مجموعه-6-عددی,"https://dkstatics-public.digikala.com/digikala-products/24bc9aaaee7fb0789de4747b1fc4b691791db1e1_1617802331.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90"
www.digikala.com/product/dkp-1075258/میز-تحریر-مدل-m191,"https://dkstatics-public.digikala.com/digikala-products/5090279.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90"
www.digikala.com/product/dkp-6829018/دفتر-برنامه-ریزی-مستر-راد-طرح-کاکتوس-مدل-پالت-کد-1586,"https://dkstatics-public.digikala.com/digikala-products/7a7a81c1c5bf9612559ddb8fa29ca1d9f6b024c6_1635663488.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90"
www.digikala.com/product/dkp-343484/میز-تحریر-تاشو-پارس-مدل-70,"https://dkstatics-public.digikala.com/digikala-products/1751064.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90"
www.digikala.com/product/dkp-1932704/میز-تحریر-مدل-الیت,"https://dkstatics-public.digikala.com/digikala-products/112859713.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90"
www.digikala.com/product/dkp-5197873/کاغذ-رنگ-آمیزی-طرح-تمرین-جمع-و-تفریق-ریاضی-مدل-نسخه-4,"https://dkstatics-public.digikala.com/digikala-products/3e0ab4f4cc40345f24ebbc4f06b9ea59f592abab_1621275934.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90"
www.digikala.com/product/dkp-3188723/میز-تحریر-کودک-هوگر-مدل-باربی,"https://dkstatics-public.digikala.com/digikala-products/d5fe19e5c084959565fb334b79a9bfb8aeea4518_1596527832.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90"
www.digikala.com/product/dkp-6441911/جامدادی-هوگر-مدل-lara,"https://dkstatics-public.digikala.com/digikala-products/2576f9a6575b7d75decfdef287acaea385aed655_1631550854.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90"
www.digikala.com/product/dkp-101425/چراغ-مطالعه-مدل-en-111,"https://dkstatics-public.digikala.com/digikala-products/700112.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90"
www.digikala.com/product/dkp-4950281/کاغذ-رنگ-آمیزی-طرح-تمرین-جمع-و-تفریق-ریاضی-مدل-نسخه-2,"https://dkstatics-public.digikala.com/digikala-products/6c31a2f4d13c648190c4ca479b4ba0cd146ad413_1621595537.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90"
www.digikala.com/product/dkp-4975818/کاغذ-رنگ-آمیزی-طرح-تمرین-جمع-و-تفریق-ریاضی-مدل-نسخه-3,"https://dkstatics-public.digikala.com/digikala-products/bec0f26cbd70488eb9bc55499e9e051622f2e263_1621594841.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90"
www.digikala.com/product/dkp-2560903/روان-نویس-طرح-یونیکورن-مدل-aquarium-کد-sh-509,"https://dkstatics-public.digikala.com/digikala-products/119803238.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90"
www.digikala.com/product/dkp-4067463/دفتر-تمرین-مدل-کمک-آموز-ریاضی-سطح-مقدماتی-کد-01,https://dkstatics-public.digikala.com/digikala-adservice-promotions/0a47b60db4daa18c161d934d49f4ab1f4aa7d142_1641281968.svg
www.digikala.com/product/dkp-340777/کاغذ-a4-کپی-مکس-بسته-500-عددی,"https://dkstatics-public.digikala.com/digikala-products/2113921.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90"
www.digikala.com/product/dkp-2890142/میز-تحریر-مدل-۱۰۴-کد-۱,"https://dkstatics-public.digikala.com/digikala-products/121456618.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90"
www.digikala.com/product/dkp-4814341/کاغذ-رنگ-آمیزی-طرح-آموزش-جمع-و-تفریق-ریاضی-نسخه-1,"https://dkstatics-public.digikala.com/digikala-products/1f543b8df21fc6f9c52c55a1ea98e484ff519283_1617610802.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90"
www.digikala.com/product/dkp-5389415/دفتر-تمرین-مدل-کمک-آموز-ریاضی-سطح-مقدماتی-کد-2,https://dkstatics-public.digikala.com/digikala-adservice-promotions/0a47b60db4daa18c161d934d49f4ab1f4aa7d142_1641281968.svg
www.digikala.com/product/dkp-5328969/برچسب-مدل-بی-تی-اس,"https://dkstatics-public.digikala.com/digikala-products/f5f37865f13a3de18a2dcc3cb1b4d231afd7c10f_1622356805.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90"
