urls,images,path
www.digikala.com/product/dkp-6249234/لپ-تاپ-156-اینچی-لنوو-مدل-ideapad-3-15igl05-z,"https://dkstatics-public.digikala.com/digikala-products/cf7840133c7b2d42979c3129a96008e5b166ac0d_1630351304.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90",./Photos/notbook_ultabook/لپ-تاپ-156-اینچی-لنوو-مدل-ideapad-3-15igl05-z/cf7840133c7b2d42979c3129a96008e5b166ac0d_1630351304.jpg?x-oss-process=image1.jpg
www.digikala.com/product/dkp-4540657/لپ-تاپ-15-اینچی-ایسوس-مدل-vivobook-x543ma-np-a,"https://dkstatics-public.digikala.com/digikala-products/bae4a15494947baf5540c64afee44073415e2b26_1614149414.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90",./Photos/notbook_ultabook/لپ-تاپ-15-اینچی-ایسوس-مدل-vivobook-x543ma-np-a/bae4a15494947baf5540c64afee44073415e2b26_1614149414.jpg?x-oss-process=image2.jpg
www.digikala.com/product/dkp-6618805/لپ-تاپ-14-اینچی-ایسوس-مدل-zenbook-14-um425ua-ki174,"https://dkstatics-public.digikala.com/digikala-products/ee1a4f2bea2910ccae465f915291d884e5f160b8_1633259979.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90",./Photos/notbook_ultabook/لپ-تاپ-14-اینچی-ایسوس-مدل-zenbook-14-um425ua-ki174/ee1a4f2bea2910ccae465f915291d884e5f160b8_1633259979.jpg?x-oss-process=image3.jpg
www.digikala.com/product/dkp-3255008/لپ-تاپ-11-اینچی-لنوو-مدل-ideapad-1-a,"https://dkstatics-public.digikala.com/digikala-products/067d4e0ea04b849caf3fc29c6f6d23fa2f7e651b_1597669901.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90",./Photos/notbook_ultabook/لپ-تاپ-11-اینچی-لنوو-مدل-ideapad-1-a/067d4e0ea04b849caf3fc29c6f6d23fa2f7e651b_1597669901.jpg?x-oss-process=image4.jpg
www.digikala.com/product/dkp-7168324/لپ-تاپ-156-اینچی-ایسوس-مدل-tuf-gaming-f15-fx506lh-b,"https://dkstatics-public.digikala.com/digikala-products/11529181d63d40636ed7d68023437284e68c6bd6_1637751975.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90",./Photos/notbook_ultabook/لپ-تاپ-156-اینچی-ایسوس-مدل-tuf-gaming-f15-fx506lh-b/11529181d63d40636ed7d68023437284e68c6bd6_1637751975.jpg?x-oss-process=image5.jpg
www.digikala.com/product/dkp-3735138/لپ-تاپ-13-اینچی-اپل-مدل-macbook-air-mgn63-2020,https://dkstatics-public.digikala.com/digikala-adservice-promotions/0a47b60db4daa18c161d934d49f4ab1f4aa7d142_1641280723.svg,./Photos/notbook_ultabook/لپ-تاپ-13-اینچی-اپل-مدل-macbook-air-mgn63-2020/dkstatics-public.digikala.com6.jpg
www.digikala.com/product/dkp-7117541/لپ-تاپ-156-اینچی-ایسوس-مدل-x543ma-dm1098,"https://dkstatics-public.digikala.com/digikala-products/bde3624d42e90f888e82932df961e15895f61f67_1637394807.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90",./Photos/notbook_ultabook/لپ-تاپ-156-اینچی-ایسوس-مدل-x543ma-dm1098/bde3624d42e90f888e82932df961e15895f61f67_1637394807.jpg?x-oss-process=image7.jpg
www.digikala.com/product/dkp-7301038/لپ-تاپ-14-اینچی-ایسوس-مدل-r465fa-eb028,"https://dkstatics-public.digikala.com/digikala-products/174590d431e79eba2df1d9792f4ae8a1bacda4db_1639393931.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90",./Photos/notbook_ultabook/لپ-تاپ-14-اینچی-ایسوس-مدل-r465fa-eb028/174590d431e79eba2df1d9792f4ae8a1bacda4db_1639393931.jpg?x-oss-process=image8.jpg
www.digikala.com/product/dkp-7158873/لپ-تاپ-173-اینچی-ایسوس-مدل-tuf-gaming-f17-fx706he-a,"https://dkstatics-public.digikala.com/digikala-products/6969c6df7ef275fbfce054beecb546a970b6341f_1637680475.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90",./Photos/notbook_ultabook/لپ-تاپ-173-اینچی-ایسوس-مدل-tuf-gaming-f17-fx706he-a/6969c6df7ef275fbfce054beecb546a970b6341f_1637680475.jpg?x-oss-process=image9.jpg
www.digikala.com/product/dkp-7316165/لپ-تاپ-156-اینچی-لنوو-مدل-v15,"https://dkstatics-public.digikala.com/digikala-products/8b5f0400d1ab9d799fef6ffcfe1f158bb076a249_1639486743.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90",./Photos/notbook_ultabook/لپ-تاپ-156-اینچی-لنوو-مدل-v15/8b5f0400d1ab9d799fef6ffcfe1f158bb076a249_1639486743.jpg?x-oss-process=image10.jpg
