urls,images
www.digikala.com/product/dkp-6249234/لپ-تاپ-156-اینچی-لنوو-مدل-ideapad-3-15igl05-z,"https://dkstatics-public.digikala.com/digikala-products/cf7840133c7b2d42979c3129a96008e5b166ac0d_1630351304.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90"
www.digikala.com/product/dkp-4540657/لپ-تاپ-15-اینچی-ایسوس-مدل-vivobook-x543ma-np-a,"https://dkstatics-public.digikala.com/digikala-products/bae4a15494947baf5540c64afee44073415e2b26_1614149414.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90"
www.digikala.com/product/dkp-6618805/لپ-تاپ-14-اینچی-ایسوس-مدل-zenbook-14-um425ua-ki174,"https://dkstatics-public.digikala.com/digikala-products/ee1a4f2bea2910ccae465f915291d884e5f160b8_1633259979.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90"
www.digikala.com/product/dkp-3255008/لپ-تاپ-11-اینچی-لنوو-مدل-ideapad-1-a,"https://dkstatics-public.digikala.com/digikala-products/067d4e0ea04b849caf3fc29c6f6d23fa2f7e651b_1597669901.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90"
www.digikala.com/product/dkp-7168324/لپ-تاپ-156-اینچی-ایسوس-مدل-tuf-gaming-f15-fx506lh-b,"https://dkstatics-public.digikala.com/digikala-products/11529181d63d40636ed7d68023437284e68c6bd6_1637751975.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90"
www.digikala.com/product/dkp-3735138/لپ-تاپ-13-اینچی-اپل-مدل-macbook-air-mgn63-2020,https://dkstatics-public.digikala.com/digikala-adservice-promotions/0a47b60db4daa18c161d934d49f4ab1f4aa7d142_1641280723.svg
www.digikala.com/product/dkp-7117541/لپ-تاپ-156-اینچی-ایسوس-مدل-x543ma-dm1098,"https://dkstatics-public.digikala.com/digikala-products/bde3624d42e90f888e82932df961e15895f61f67_1637394807.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90"
www.digikala.com/product/dkp-7301038/لپ-تاپ-14-اینچی-ایسوس-مدل-r465fa-eb028,"https://dkstatics-public.digikala.com/digikala-products/174590d431e79eba2df1d9792f4ae8a1bacda4db_1639393931.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90"
www.digikala.com/product/dkp-7158873/لپ-تاپ-173-اینچی-ایسوس-مدل-tuf-gaming-f17-fx706he-a,"https://dkstatics-public.digikala.com/digikala-products/6969c6df7ef275fbfce054beecb546a970b6341f_1637680475.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90"
www.digikala.com/product/dkp-7316165/لپ-تاپ-156-اینچی-لنوو-مدل-v15,"https://dkstatics-public.digikala.com/digikala-products/8b5f0400d1ab9d799fef6ffcfe1f158bb076a249_1639486743.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90"
www.digikala.com/product/dkp-3404802/لپ-تاپ-15-اینچی-مایکروسافت-مدل-surface-book-3-f,"https://dkstatics-public.digikala.com/digikala-products/80dc0f1c5078c2621d57f9e38722d09cbcde0ba5_1600244060.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90"
www.digikala.com/product/dkp-6981835/لپ-تاپ-156-اينچی-الین-ویر-مدل-m15-r3,https://dkstatics-public.digikala.com/digikala-adservice-promotions/0a47b60db4daa18c161d934d49f4ab1f4aa7d142_1641280723.svg
www.digikala.com/product/dkp-5149661/لپ-تاپ-156-اینچی-لنوو-مدل-thinkbook-15-f,"https://dkstatics-public.digikala.com/digikala-products/7fb830bace59a3dea52799820b49e6aa89c9d4dc_1620800225.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90"
www.digikala.com/product/dkp-7292439/لپ-تاپ-156-اینچی-اچپی-مدل-255-g8,"https://dkstatics-public.digikala.com/digikala-products/0b9c624caac615b239ab1220a6cceeb60fad6d8c_1639303096.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90"
www.digikala.com/product/dkp-6279968/لپ-تاپ-133-اینچی-اپل-مدل-macbook-pro-cto-2020-همراه-با-تاچ-بار-clone-1-of-6142612,"https://dkstatics-public.digikala.com/digikala-products/fb5ac01262f2b1988fa8eeb29f966e81583b3969_1630468933.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90"
www.digikala.com/product/dkp-2905622/لپ-تاپ-15-اینچی-لنوو-مدل-ideapad-l3-15iml05-npa,"https://dkstatics-public.digikala.com/digikala-products/121530429.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90"
www.digikala.com/product/dkp-5714108/لپ-تاپ-156-اینچی-اچپی-مدل-dw2196-a-nb,"https://dkstatics-public.digikala.com/digikala-products/9d11a3245fb87aba8e65bcf5475efb88c8b83539_1625904562.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90"
www.digikala.com/product/dkp-3433146/لپ-تاپ-15-اینچی-ایسوس-مدل-vivobook-r521ja-bq083,"https://dkstatics-public.digikala.com/digikala-products/0efd163d6cc33b53c111c6e39450e8a3b37eadf8_1600690414.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90"
www.digikala.com/product/dkp-3784925/لپ-تاپ-13-اینچی-اپل-مدل-macbook-pro-myd92-2020-همراه-با-تاچ-بار,"https://dkstatics-public.digikala.com/digikala-products/fb5ac01262f2b1988fa8eeb29f966e81583b3969_1605622866.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90"
www.digikala.com/product/dkp-5519011/لپ-تاپ-156-اینچی-لنوو-مدل-v15-igl,"https://dkstatics-public.digikala.com/digikala-products/09b638ef54a2cbbe01a45230f1eb2aaca16c1f4a_1624103426.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90"
www.digikala.com/product/dkp-3784517/لپ-تاپ-13-اینچی-اپل-مدل-macbook-pro-myd82-2020-همراه-با-تاچ-بار,https://dkstatics-public.digikala.com/digikala-adservice-promotions/0a47b60db4daa18c161d934d49f4ab1f4aa7d142_1641280723.svg
www.digikala.com/product/dkp-5948001/لپ-تاپ-11-اینچی-لنوو-مدل-ideapad-1-11ada05,"https://dkstatics-public.digikala.com/digikala-products/4a4f7d3c1fcaeefa6fd3d94b1dc427e613b62050_1627809875.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90"
www.digikala.com/product/dkp-6214600/لپ-تاپ-14-اینچی-ایسوس-مدل-zenbook-14-um425ia-am035,"https://dkstatics-public.digikala.com/digikala-products/8f6d8ce6f757dc8b56611849fbb86adb76930b68_1629873349.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90"
www.digikala.com/product/dkp-6239906/لپ-تاپ-156-اینچی-ایسر-مدل-an515-55-719k-nb-clone-1-of-5658505,"https://dkstatics-public.digikala.com/digikala-products/48adbd14e6da00911bc22f7ec7ec21c93ae721de_1630129806.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90"
www.digikala.com/product/dkp-1925717/لپ-تاپ-15-اینچی-لنوو-مدل-ideapad-v130-pc,"https://dkstatics-public.digikala.com/digikala-products/112821119.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90"
www.digikala.com/product/dkp-7244414/لپ-تاپ-156-اینچی-ایسوس-مدل-r565ea-bq1477,"https://dkstatics-public.digikala.com/digikala-products/268eac711d48dd78a04273fc74f2da6247009626_1639214903.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90"
www.digikala.com/product/dkp-6922321/لپ-تاپ-156-اینچی-لنوو-مدل-thinkbook-15-g2-itl-clone-1-of-6187574,"https://dkstatics-public.digikala.com/digikala-products/77bc5075783ed25382c8d467ca88139514d3f5f8_1635920336.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90"
www.digikala.com/product/dkp-7159661/لپ-تاپ-16-اینچی-ایسوس-مدل-rog-zephyrus-m16-gu603hm-211zm16,"https://dkstatics-public.digikala.com/digikala-products/6235b7fa89f75b114fea76eaedb77233701f3cb4_1637684554.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90"
www.digikala.com/product/dkp-7158254/لپ-تاپ-156-اینچی-ایسوس-مدل-tuf-gaming-f15-fx506lh-ba,"https://dkstatics-public.digikala.com/digikala-products/11529181d63d40636ed7d68023437284e68c6bd6_1637677275.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90"
www.digikala.com/product/dkp-4888700/لپ-تاپ-14-اینچی-هوآوی-مدل-matebook-d14,"https://dkstatics-public.digikala.com/digikala-products/4e7983d9bd59ca7309ace03de0b1cf45e31ad42d_1618230895.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90"
www.digikala.com/product/dkp-7155736/لپ-تاپ-156-اینچی-ایسوس-مدل-r565ep-bq337,"https://dkstatics-public.digikala.com/digikala-products/f51582f001604b5c494e61e802d872fa923d5cab_1637675838.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90"
www.digikala.com/product/dkp-4678604/لپ-تاپ-156-اینچی-ایسوس-مدل-x543ma-dm1064,"https://dkstatics-public.digikala.com/digikala-products/bae4a15494947baf5540c64afee44073415e2b26_1615376461.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90"
www.digikala.com/product/dkp-7234240/لپ-تاپ-156-اینچی-ایسوس-مدل-rog-strix-g15-g512lv-za,"https://dkstatics-public.digikala.com/digikala-products/82a0d5af77d233f08412eccbd08793b056af8b6b_1638706077.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90"
www.digikala.com/product/dkp-7051039/لپ-تاپ-156-اینچی-لنوو-مدل-thinkbook-15-iil-20sm,"https://dkstatics-public.digikala.com/digikala-products/d250f01ac6e330228fe933a847f6ca06807e3857_1637060608.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90"
www.digikala.com/product/dkp-6328243/لپ-تاپ-156-اینچی-لنوو-مدل-legion-5-15imh05h-nb,"https://dkstatics-public.digikala.com/digikala-products/28e7e64e9a3cc7f60b8e59b5fb49da044fdb4ad4_1630755717.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90"
www.digikala.com/product/dkp-7156664/لپ-تاپ-14-اینچی-ایسوس-مدل-r465ep-eb219,"https://dkstatics-public.digikala.com/digikala-products/174590d431e79eba2df1d9792f4ae8a1bacda4db_1637740818.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90"
www.digikala.com/product/dkp-2217554/لپ-تاپ-16-اینچی-اپل-مدل-macbook-pro-mvvk2-2019-همراه-با-تاچ-بار,"https://dkstatics-public.digikala.com/digikala-products/114389900.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90"
www.digikala.com/product/dkp-7159694/لپ-تاپ-173-اینچی-ایسوس-مدل-tuf-gaming-f17-fx706he-a-clone-1-of-7158873,"https://dkstatics-public.digikala.com/digikala-products/6969c6df7ef275fbfce054beecb546a970b6341f_1637685224.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90"
www.digikala.com/product/dkp-6894290/لپ-تاپ-156-اینچی-لنوو-مدل-ideapad-3-15iml05-81wb,"https://dkstatics-public.digikala.com/digikala-products/342fd9635026487512beafde494a0d628b652a6d_1635671821.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90"
www.digikala.com/product/dkp-7037109/لپ-تاپ-156-اینچی-اچپی-مدل-pavilion-15-eh1070wm,"https://dkstatics-public.digikala.com/digikala-products/db9d62baa8774af9b71fed6cad65b5b5bd1c081d_1636881573.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90"
www.digikala.com/product/dkp-1788325/لپ-تاپ-15-اینچی-لنوو-مدل-ideapad-330-nxb,"https://dkstatics-public.digikala.com/digikala-products/112114349.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90"
www.digikala.com/product/dkp-7292328/لپ-تاپ-156-اینچی-اچپی-مدل-250-g8,"https://dkstatics-public.digikala.com/digikala-products/e577625728680472adbe0ddfe09ee93ac477d075_1639302581.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90"
www.digikala.com/product/dkp-7159956/لپ-تاپ-156-اینچی-ایسوس-مدل-tuf-dash-f15-fx516pm-a,"https://dkstatics-public.digikala.com/digikala-products/23046c8f73472e6765f47c4c812edfeb629e9e61_1637686952.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90"
www.digikala.com/product/dkp-5604650/لپ-تاپ-156-اینچی-لنوو-مدل-ideapad-3-15iil05-a,"https://dkstatics-public.digikala.com/digikala-products/342fd9635026487512beafde494a0d628b652a6d_1624784268.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90"
www.digikala.com/product/dkp-7244738/لپ-تاپ-14-اینچی-ایسوس-مدل-m433ia-eb1017,"https://dkstatics-public.digikala.com/digikala-products/ac85c596217308266cc7304b4d521571179db070_1639211510.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90"
www.digikala.com/product/dkp-3738834/لپ-تاپ-13-اینچی-اپل-مدل-macbook-air-mgn73-2020,"https://dkstatics-public.digikala.com/digikala-products/79f4b1e3c31fb22fa193ea1393e2cb8e8a5863cc_1605101706.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90"
www.digikala.com/product/dkp-6495312/لپ-تاپ-15-اینچی-اچ-پی-مدل-hp-250-g7-e-clone-1-of-3550447,"https://dkstatics-public.digikala.com/digikala-products/cebfbdc5dd2bbf95deb5ac84d0072aea153bc732_1632043084.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90"
www.digikala.com/product/dkp-3381402/لپ-تاپ-15-اینچی-لنوو-مدل-legion-5-15imh05h,"https://dkstatics-public.digikala.com/digikala-products/983658954f38728c532c78ed172ac4348657e81e_1600493866.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90"
www.digikala.com/product/dkp-6061470/لپ-تاپ-15-اینچی-ایسوس-مدل-vivobook-k571gt-p-clone-1-of-2581371,"https://dkstatics-public.digikala.com/digikala-products/7bf14ea986dc9d22c1dd727c1b0c9ebc10e1047d_1628487551.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90"
www.digikala.com/product/dkp-7175993/لپ-تاپ-156-اینچی-ایسوس-مدل-rog-strix-g15-g513ih-hn021,"https://dkstatics-public.digikala.com/digikala-products/968e7af5b032d8b91953ab6ba6ab05360a6beffc_1638691925.jpg?x-oss-process=image/resize,m_lfit,h_600,w_600/quality,q_90"
